N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,TURTLE_ID,MARCAS_COL_Esquerda,MARCAS_COL_Direita,MARCAS_COL_Posterior_Esquerda,MARCAS_COL_Posterior_Direita,MARCAS_ENC_Esquerda,MARCAS_ENC_Direita,MARCAS_ENC_Posterior_Esquerda,MARCAS_ENC_Posterior_Direita,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP DOWNLOAD - DATE,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
44,LEO,CD,3-Feb-23,23,20:30,10,247,-3.87011,-32.43895,F17,BRA 31344,BRA 31343,NA,NA,NA,NA,NA,NA,NA,97.3,90.7,SIM,#N23 03-Feb-2023 BRA 31344 BRA 31343,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-Mar-23,29-Mar-23,SU,49,2,3,54,NAO,NA,54,90.74,Pintada. Muito perto do ninho 03. Perto da caixa toxica. Tiramos duas pedras quando comecou a desovar.
45,LEO,CD,3-Feb-23,25,04:45,10,248,-3.86942,-32.43789,F18,BRA 31332,BRA 31333,NA,NA,NA,NA,NA,NA,NA,105,98.4,SIM,#N25 03-Feb-2023 BRA 31332 BRA 31333,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-Mar-23,30-Mar-23,SU,91,0,5,96,NAO,NA,54,94.79,Pintada. Foto das marcas ok. Desceu as 05:09. Marcas na axila porque possui cicatrizes.
46,LEO,CD,3-Feb-23,24,03:45,10,249,-3.86945,-32.4388,F6,NA,BRA 31316,NA,NA,BR 83237,BRA 31316,NA,NA,NA,NA,NA,SIM,#N24 03-Feb-2023 BR 83237 BRA 31316,I,21309300,2/4/2023 05:01,3/27/2023 03:04,27-Mar-23,NA,NA,NA,NA,NA,26-Mar-23,26-Mar-23,SU,41,3,30,74,SIM,40,51,55.41,Pintada. Marca esquerda antiga. Longe dos outros ninhos.
47,LEO,ML,3-Feb-23,NA,NA,10,249,-3.8696,-32.43624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entre 3:30 e 5:00. Not sighted.
48,LEO ,ML,3-Feb-23,NA,NA,10,251,-3.8695,-32.43515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antes das 05:41.
49,LEO,SD,4-Feb-23,NA,20:55,11,340,-3.86967,-32.43554,F19,BRA 31337,BRA 31339,NA,NA,NA,NA,NA,NA,NA,108.4,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Voltando para o mar perto das pedras do inicio da praia. Nadadeira posterior esquerda com um grande corte.
50,LEO,SD,4-Feb-23,NA,20:55,11,341,-3.8695,-32.43515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inicio da praia. Subiu e desceu pelas pedras. Not sighted.
51,LEO,ML,5-Feb-23,NA,NA,10,252,-3.86893,-32.4352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antes das 20:30. Not sighted. ML no início da praia.
52,LEO,ML,5-Feb-23,NA,NA,10,254,-3.86949,-32.4352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antes das 20:30. Not sighted. ML no início da praia.
53,LEO,CD,5-Feb-23,26,20:35,10,253,-3.86899,-32.43516,F20,BRA 31334,NA,NA,NA,NA,NA,NA,NA,NA,100.8,95,SIM,#N26 05-Feb-2023 BRA 31334,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,31-Mar-23,31-Mar-23,SU,63,1,17,81,NAO,NA,54,77.78,Pintada. Fotos da marca ok. 1 ovo anômalo pequeno e 1 filhote retido. 
54,LEO,SD,5-Feb-23,NA,20:30,10,256,-3.86941,-32.43574,F1,NA,NA,NA,NA,BR 26380,BRA 21602,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pintada novamente. Subiu fez multiplas camas e covas; desceu às 5:45. 
55,LEO,SD,6-Feb-23,NA,20:43,11,342,-3.86951,-32.43523,F19,NA,NA,NA,NA,BRA 31337,BRA 31339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD no inicio da praia, local com muitas pedras; desceu 4:30; multiplas camas."
56,LEO,SD,6-Feb-23,NA,NA,11,343,-3.86943,-32.43533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD antes das 08:43; inicio da praia; not sighted
57,LEO,ML,6-Feb-23,NA,NA,11,344,-3.86947,-32.43538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML antes das 20:43; inicio da praia; not sighted
58,LEO,CD,6-Feb-23,27,21:00,11,346,-3.86992,-32.43753,F21,BRA 31348,BRA 31349,NA,NA,NA,NA,NA,NA,NA,106.4,100,SIM,#N27 06-Feb-2023 BRA 31348 BRA 31349,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-Mar-23,30-Mar-23,SU,94,0,3,97,NAO,NA,52,96.91,"pintada, photo ID OK (check), fotos marcas OK, robusta"
59,LEO,CD,6-Feb-23,28,20:45,11,345,-3.86953,-32.43647,F22,BRA 31340,BRA 31341,NA,NA,NA,NA,NA,NA,NA,111,104,SIM,#N28 06-Feb-2023 BRA 31340 BRA 31341,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-Mar-23,29-Mar-23,SU,110,0,11,121,NAO,NA,51,90.91,pintada; photos das marcas OK; check photos ID
60,LEO,CD,6-Feb-23,29,21:10,11,347 (I) e 348 (P),-3.87004,-32.43982,F23,NA,NA,NA,NA,BRA 21670,BRA 21625,NA,NA,NA,104,97.7,SIM,#N29 06-Feb-2023 BRA 21670 BRA 21625,P,NA,NA,NA,NA,A,94,0,-3.86993,-32.43764,29-Mar-23,29-Mar-23,SU,55,1,38,94,NAO,NA,51,58.51,"Desovou no final da praia, local com alagamento constante; pintada; foto marca BRA 21670; cova rasa; 1 ovo anomalo grande."
61,LEO,CD,6-Feb-23,30,21:00,11,349,-3.86998,-32.43762,F1,NA,NA,NA,NA,BR 26380,BRA 21602,NA,NA,NA,NA,NA,NAO,NA,I,21309328,2/6/2023 22:26,NA (Hobo not found),NA,NA,NA,NA,NA,NA,30-Mar-23,30-Mar-23,SU,117,1,35,153,NAO,NA,52,76.47,"Pintada novamente; cama muito funda; estaca corringa n3. 4 filhotes retidos e 3 filhotes ainda dentro do ovo. A estaca e o Hobo não foram encontrados. Ninho encontrado pelo WP do GPS. Área com muitas desovas ao redor, provavelmente a estaca foi retirada e enterrada por outra tartaruga.  "
62,LEO,SD,7-Feb-23,NA,20:35,10,257,-3.86915,-32.43537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD no início da praia; sem marcas e não foi possível colocar marcas; desceu 20:40. 
63,LEO ,CD,7-Feb-23,31,20:45,10,258,-3.86937,-32.43518,F24,BRA 31364,NA,NA,BRA 31365,NA,NA,NA,NA,NA,120.5,112.8,SIM,#N31 07-Feb-2023 BRA 31364 BRA 31365,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Apr-23,1-Apr-23,SU,56,0,6,62,NAO,NA,53,90.32,"Pintada. Fotos das marcas ok. Muitas camas, desova próxima a vegetação (desovou 22:30) e muito perto do ninho N08. Nadadeira direita com muitas cicatrizes de marcas. ""Barulhenta""; 2 filhotes retidos"
64,LEO ,CD,7-Feb-23,32,20:47,11,350,-3.86964,-32.43789,F7,NA,NA,NA,NA,BRA 31303,BRA 31317,NA,NA,NA,NA,NA,NAO,NAO,I,21309320,2/7/2023 23:38,3/30/2023 04:13,30-Mar-23,NA,NA,NA,NA,NA,29-Mar-23,29-Mar-23,SU,91,1,11,103,SIM,40,50,88.35,"Tartaruga camuflando a desova, desovou na mesma cama da F1 (ninho 30), derrubou e enterrou a estaca. Estava muito funda, com muita areia e em movimento, não sendo possível coletar amostra e tirar photo ID. Foram retirados 30 ovos, depositado o Hobo, ovos devolvidos e ninho fechado. -- Emerged on 29-Mar-2023"
65,LEO ,CD,7-Feb-23,33,20:50,11,351,-3.86953,-32.43633,F2,NA,NA,NA,NA,BRA 27873,BRA 31301,NA,NA,NA,NA,NA,SIM,#N33 07-Feb-2023 BRA 27873 BRA 31301,I,21309305,2/7/2023 22:28,4/2/2023 02:33,2-Apr-23,NA,NA,NA,NA,NA,1-Apr-23,1-Apr-23,SU,78,0,1,79,SIM,40,53,98.73,Pintada novamente. Photo ID tirada novamente; 4 hatchlings stuck in nest. 
66,LEO ,ML,7-Feb-23,NA,21:00,11,352,-3.87004,-32.43954,F8,NA,NA,NA,NA,BRA 31305,BRA 31320,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,"ML no final da praia, local de pedras. Robusta."
67,LEO ,ML,8-Feb-23,NA,22:10,11,353,-3.87027,-32.43914,F8,NA,NA,NA,NA,BRA 31305,BRA 31320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML na porcão final da praia.
68,LEO ,ML,8-Feb-23,NA,NA,10,259,-3.87043,-32.43814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unsighted ML entre 22:20 e 23:20 (enquanto F8 estava na praia).
69,LEO ,CD,9-Feb-23,34,20:30,10,263,-3.86953,-32.43607,F9,NA,NA,NA,NA,BR 53375,NA,NA,BRA 27913,NA,NA,NA,SIM,#N34 09-Feb-2023 BR 53375 BRA 27913,I,21309327,2/9/2023 20:45,4/3/2023 23:00,4-Apr-23,NA,NA,NA,NA,NA,3-Apr-23,3-Apr-23,SU,49,1,13,63,SIM,40,53,77.78,Pintada - Nest emerged 03-Apr-2023
70,LEO ,CD,9-Feb-23,35,20:45,10,260,-3.87041,-32.43817,F26,BRA 31368,BRA 31369,NA,NA,NA,NA,NA,NA,NA,103.6,88.7,SIM,#N35 09-Feb-2023 BRA 31368 BRA 31369,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Apr-23,2-Apr-23,SU,88,0,27,115,NAO,NA,52,76.52,"Precisa fotos das marcas; pintada; precisa verificar se ha uma pedra no ninho; talvez contaminacao da amostra, precisa de uma terceira."
71,LEO ,CD,9-Feb-23,36,20:30,10,262,-3.86999,-32.4375,F25,BRA 31366,BRA 31367,NA,NA,NA,NA,NA,NA,NA,102.5,95,SIM,#N36 09-Feb-2023 BRA 31366 BRA 31367,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Apr-23,4-Apr-23,SU,47,0,15,62,NAO,NA,53,75.81,"Pedra no ninho, pintada, fotos das marcas OK; 1 filhote retido."
72,LEO ,CD,9-Feb-23,37,20:30,10,261,-3.86993,-32.43754,F10,NA,NA,NA,NA,BRA 31307,BRA 31308,NA,NA,NA,NA,NA,SIM,#N37 09-Feb-2023 BRA 31307 BRA 31308,I,21309311,2/9/2023 21:41,3/31/2023 23:15,1-Apr-23,NA,NA,NA,NA,NA,31-Mar-23,31-Mar-23,SU,100,0,7,107,SIM,40,50,93.46,Pintada; foto das marcas OK
73,LEO ,ML,9-Feb-23,NA,NA,10,264,-3.87017,-32.43843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antes de 20:30, em frente da casinha."
74,LEO,CD,10-Feb-23,38,20:45,10,265 (I) e 266 (P),-3.87016,-32.43843,F27,BRA 31374,BRA 31375,NA,NA,NA,NA,NA,NA,NA,107.3,96.7,SIM,#N38 10-Feb-2023 BRA 31374 BRA 31375,P,NA,NA,NA,NA,A,109,0,-3.87027,-32.439,3-Apr-23,3-Apr-23,SU,102,2,2,106,NAO,NA,52,96.23,"Marcas colocadas nas axilas, muitas cicatrizes de marcas. Nodulo do lado esquerdo entre pescoço e nadadeira. Desova no final da praia em local com alagamentos constantes. - Nest emerged on 3-Apr-2023 with 2 retidos. "
75,LEO,CD,10-Feb-23,39,23:00,11,354,-3.86984,-32.43772,F12,NA,NA,NA,NA,BRA 31318,BRA 31319,NA,NA,NA,NA,NA,SIM,#N39 10-Feb-2023 BRA 31318 BRA 31319,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-Apr-23,4-Apr-23,SU,67,2,6,75,NAO,NA,53,89.33,Nodulo em cima da nadadeira esquerda na porção proximal. Pintada. 3 filhotes retidos.
76,LEO,CD,10-Feb-23,40,23:45,11,355,-3.86965,-32.43661,F8,NA,NA,NA,NA,BRA 31305,BRA 31320,NA,NA,NA,NA,NA,SIM,#N40 10-Feb-2023 BRA 31305 BRA 31320,I,21309321,2/11/2023 01:59,4/4/2023 18:42,4-Apr-23,NA,NA,NA,NA,NA,3-Apr-23,4-Apr-23,SU,121,1,7,129,SIM,40,52,93.8,"Pintada de novo. Internesting periodo de 16 dias. Depresao na cabeca, mais evidente da esquerda. Nest emerged on 3-Apr-2023 with 121 hatchlings.  "
77,LEO,CD,11-Feb-23,41,20:50,11,356,-3.8695,-32.43659,F28,NA,NA,BRA 31330,BRA 31310,NA,NA,NA,NA,NA,105,97.3,SIM,#N41 11-Feb-2023 BRA 31330 BRA 31310,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-Apr-23,4-Apr-23,SU,65,3,1,69,SIM,40,52,94.2,Cicatriz marca nadadeiras anteriores; photo ID OK; 1 filhote retido. 
78,LEO,CD,11-Feb-23,42,21:21,11,357,-3.86987,-32.43742,F4,NA,NA,NA,NA,BRA 31313,BRA 31314,NA,NA,NA,NA,NA,NAO,NA,I,21309333,2/12/2023 01:12,4/3/2023 03:22,3-Apr-23,NA,NA,NA,NA,NA,2-Apr-23,2-Apr-23,SU,93,0,0,93,SIM,40,50,100,Pintura OK. 3 filhotes retidos.
79,LEO,CD,11-Feb-23,43,22:00,11,358,-3.86991,-32.43745,F14,NA,NA,NA,NA,BRA 31326,NA,BRA 31335,NA,NA,NA,NA,SIM,#N43 11-Feb-2023 BRA 31326 BRA 31335,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,7-Apr-23,7-Apr-23,SU,122,2,3,127,NAO,NA,55,96.06,Pintada novamente; robusta; cicatriz de marcas; desova proxima ninho #6. 1 ovo anômalo.
80,LEO,CD,12-Feb-23,44,20:45,10,267,-3.87004,-32.43801,F15,NA,NA,NA,NA,BRA 31302, BRA 31304,NA,NA,NA,NA,NA,SIM,#N44 12-Feb-2023 BRA 31302 BRA 31304,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-Apr-23,6-Apr-23,SU,100,0,1,101,NAO,NA,53,99.01,"Pintada novamente, perto dos ninhos #30 e 32. Very deep nest."
81,LEO,ML,12-Feb-23,NA,NA,10,268,-3.86983,-32.43758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entre 23:40 e 00:40.
82,LEO,CD,13-Feb-23,45,20:27,11,359,-3.8696,-32.4366,F16,NA,NA,NA,NA,BRA 31336,NA,NA,BRA 31338,NA,NA,NA,SIM,#N45 13-Feb-2023 BRA 31336 BRA 31338,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,7-Apr-23,7-Apr-23,SU,69,0,6,75,NA,NA,53,92,"Pintada. Desova próximo ao ninho 41 e 22. Magra. Derrubou estaca 22, estaca ancorada recolocada no lugar. 1 ovo anômalo."
83,LEO,SD,13-Feb-23,NA,20:32,10,269,-3.8698,-32.43851,F3,NA,NA,NA,NA,BRA 31321,BRA 31309,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,Desceu as 21:55.
84,LEO,ML,13-Feb-23,NA,21:52,10,270,-3.86945,-32.43603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA, NA, NA,NA,"Tartaruga marcada, não foi possível verificar o número das marcas. ML muito rápida nas pedras no início da praia. "
85,LEO,ML,13-Feb-23,NA,NA,10,271,-3.86952,-32.43601,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,Entre 20:50 e 21:50. Unsighted.
86,LEO,ML,13-Feb-23,NA,NA,10,272,-3.87038,-32.43924,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,Entre 23:50 e 1:10. Unsighted.
87,LEO,ML,14-Feb-23,NA,20:46,11,360,-3.87004,-32.43862,F5,NA,NA,NA,NA,BRA 21686,BRA 21685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
88,LEO,SD,14-Feb-23,NA,21:50,11,361,-3.87011,-32.43804,F29,NA,BRA 31357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marca colocada na descida para o mar entre 2 e 3 escama da nadadeira direito; cavou na cama N19 e derrubou a estaca.
89,LEO,CD,14-Feb-23,46,22:30,11,362 (I) e 363 (P),-3.87024,-32.43923,F3,NA,NA,NA,NA,BRA 31321,BRA 31309,NA,NA,NA,NA,NA,NAO,NA,P,NA,NA,NA,NA,A,111,0,-3.87004,-32.43773,5-Apr-23,5-Apr-23,SU,106,0,5,111,NAO,NA,50,95.5,"Desova na porcao final da praia, area com alagamento; pintada OK; 1 ovo anomalo pequeno."
90,LEO,SD,14-Feb-23,NA,23:00,11,364,-3.86945,-32.43576,F6,NA,NA,NA,NA,BR 83237,BRA 31316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 camas com pedras; desceu 01:30.
91,LEO,ML,14-Feb-23,NA,23:50,11,365,-3.87002,-32.43823,F11,NA,NA,NA,NA,NA,BRA 15325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Não foi possível checar a outra tag. 
92,LEO,ML,15-Feb-23,NA,20:35,10,273,-3.87013,-32.43934,F5,NA,NA,NA,NA,BRA 21686,BRA 21685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,
93,LEO,CD,15-Feb-23,47,20:40,11,366,-3.8701,-32.43811,F6,NA,NA,NA,NA,BR 83237,BRA 31316,NA,NA,NA,NA,NA,NA,NA,I,21309341,2/15/2023 23:45,4/9/2023 04:07,9-Apr-23,NA,NA,NA,NA,NA,8-Apr-23,8-Apr-23,SU,74,0,7,81,SIM,40,52,91.36,"Pintada novamente, photo marcas ok. Crab hole on 5-APR"
94,LEO,CD,15-Feb-23,48,22:00,11,367 (I) e 368 (P),-3.87043,-32.43834,F29,BRA 31356,NA,NA,NA,NA,BRA 31357,NA,NA,NA,106.4,99,SIM,#N48 15-Feb-2023 BRA 31356 BRA 31357,P,NA,NA,NA,NA,A,40,0,-3.87014,-32.43803,NA,16-Apr-23,SU,0,0,40,40,NAO,NA,NA,0,"Pintada, checar photos marcas, tirar photo do topo da cabeca, desova abaixo da linha da sizigia, WP(P) 368. Ninho aberto com 60 dias."
95,LEO,CD,15-Feb-23,49,23:15,10,274,-3.86981,-32.43644,F18,NA,NA,NA,NA,BRA 31332,BRA 31333,NA,NA,NA,NA,NA,SIM,#N49 15-Feb-2023 BRA 31332 BRA 31333,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,9-Apr-23,10-Apr-23,SU,83,0,6,89,NAO,NA,53,93.26,"Pintada novamente, perto do ninho 002. Stake knocked over on 22-Mar-2023. 1 abnormal medium egg."
96,LEO,CD,15-Feb-23,51,23:15,11,369,-3.86943,-32.43567,F11,NA,NA,NA,NA,BRA 31306,BRA 15325,NA,NA,NA,NA,NA,SIM,#N51 15-Feb-2023 BRA 31306 BRA 15325,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-Apr-23,6-Apr-23,SU,118,2,5,125,NAO,NA,50,94.4,"Pintada novamente, desova na cama do ninho 08, arrebentou a cordinha e tirou a estaca do lugar. Emergidos entre 20:50 e 22:20."
97,LEO,CD,15-Feb-23,50,23:55,10,402,-3.87003,-32.43763,F5,NA,NA,NA,NA,BRA 21686,BRA 21685,NA,NA,NA,NA,NA,NAO,NA,I,21309307,2/16/2023 02:00,4/11/2023 01:05,11-Apr-23,NA,NA,NA,NA,NA,10-Apr-23,10-Apr-23,SU,108,0,1,109,SIM,40,54,99.08,"Pintada novamente, perto do ninho 32. Crab hole on 5-APR. 2 abnormal eggs. 10 stuck in nest."
98,LEO,CD,15-Feb-23,52,02:35,10,277,-3.86965,-32.43618,F17,NA,NA,NA,NA,BRA 31344,BRA 31343,NA,NA,NA,NA,NA,SIM,#N52 15- Feb-2023 BRA 31344 BRA 31343,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Apr-23,12-Apr-23,SU,64,0,2,66,NAO,NA,56,96.97,"Muito perto da caixa toxica, derrubou a estaca 23."
99,LEO,ML,15-Feb-23,NA,03:00,10,276,-3.86968,-32.43617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tartaruga desceu antes que pudessem verificar as marcas, ML muito curta ate as pedras depois do primeiro rio."
100,LEO,SD,16-Feb-23,NA,23:20,10,278,-3.86956,-32.43662,F20,NA,NA,NA,NA,BRA 31334,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,Desceu às 1:10. Tentou fazer a cama e cova na vegetação atras da duna da primeira caixa tóxica. 
101,LEO,CD,16-Feb-23,53,03:25,10,279,-3.86972,-32.43666,F20,NA,BRA 31359,NA,NA,BRA 31334,NA,NA,NA,NA,NA,NA,SIM,#N53 16-Feb-2023 BRA 31334 BRA 31359,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Apr-23,14-Apr-23,SU,64,0,8,72,NAO,NA,57,88.89,Pintada novamente. Foto da marca direita Ok.
102,LEO,CD,17-Feb-23,54,20:40,11,370,-3.86969,-32.43695,F1,NA,NA,NA,NA,BR 26380,BRA 21602,NA,NA,NA,NA,NA,NAO,NA,I,21309309,2/17/2023 22:06,4/12/2023 04:26,12-Apr-23,NA,NA,NA,NA,NA,11-Apr-23,11-Apr-23,SU,114,1,35,150,SIM,40,53,76,Pintada de novo. Pedras na cova. 5 filhotes retidos. 
103,LEO,SD,17-Feb-23,NA,23:30,10,280,-3.86992,-32.43764,F23,NA,NA,NA,NA,BRA 21670,BRA 21625,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Muitas pedras na cova.
104,LEO,ML,17-Feb-23,NA,01:00,10,281,-3.86982,-32.43598,F2,NA,NA,NA,NA,NA,BRA 31301,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Em frente das pedras do meio da praia. Desceu 01:40. Não foi possível checar a outra tag.
105,LEO,CD,18-Feb-23,55,20:32,11,371,-3.86961,-32.43673,F22,NA,NA,NA,NA,BRA 31340,BRA 31341,NA,NA,NA,NA,NA,SIM,#N55 18-Feb-2023 BRA 31340 BRA 31341,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Apr-23,14-Apr-23,SU,127,1,2,130,NAO,NA,55,97.69,pintada novamente; ao lado do ninho 12; derrubou estaca n16; estaca ancorada recolocada.
106,LEO,ML,18-Feb-23,NA,NA,11,372,-3.86999,-32.43829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antes das 20:38; ML proxima a casinha.
107,LEO,ML,18-Feb-23,NA,00:15,11,374,-3.87046,-32.43825,F2,NA,NA,NA,NA,NA,BRA 31301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andou muito; passou pelas pedras e pela vegetacao; ML proxima a casinha; rastro muito longo. 
108,LEO,CD,18-Feb-23,56,00:25,11,373,-3.87011,-32.43812,F23,NA,NA,NA,NA,BRA 21670,BRA 21625,NA,NA,NA,NA,NA,SIM,#N56 18-Feb-2023 BRA 21670 BRA 21625,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Apr-23,13-Apr-23,SU,62,0,29,91,NAO,NA,53,68.13,Pintada novamente; ao lado do ninho 47; derrubou estaca n47; estaca ancorada colocada no lugar.
