N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,TURTLE_ID,MARCAS_COL_Esquerda,MARCAS_COL_Direita,MARCAS_COL_Posterior_Esquerda,MARCAS_COL_Posterior_Direita,MARCAS_ENC_Esquerda,MARCAS_ENC_Direita,MARCAS_ENC_Posterior_Esquerda,MARCAS_ENC_Posterior_Direita,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP DOWNLOAD - DATE,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
14,LEO,CD,17-Jan-23,5,03:00,11,317,-3.86998,-32.43718,F3,NA,BRA 31309,NA,NA,BRA 31321,NA,NA,NA,NA,110,105,SIM,#N05 17-Jan-2023 BRA 32321 BRA 31309,I,21309330,1/18/2023 03:29,3/13/2023 22:28,14-Mar-23,NA,NA,NA,NA,NA,12-Mar-23,13-Mar-23,SU,55,8,27,90,SIM,40,55,61.11,Cicatriz de marca entre a primeira e segunda nadadeira direita. Marca BRA 31309 colocada entre a segunda e terceira escama. Observar desova em caso de Swell. 
15,LEO,CD,21-Jan-23,6,20:36,11,318,-3.86997,-32.43734,F5,NA,NA,NA,NA,BRA 21686,BRA 21685,NA,NA,NA,107,93,SIM,#N06 21-Jan-2023 BRA 21686 BRA 21685,I,21309299,1/21/2023 22:45,3/15/2023 01:51,16-Mar-23,NA,NA,NA,NA,NA,14-Mar-23,14-Mar-23,SU,139,0,3,142,SIM,40,52,97.89,Pintada. 6 filhotes emergidos 00:40 e 133 emergidos 1:20.
16,LEO,ML,21-Jan-23,NA,22:04,11,319,-3.87071,-32.43813,F6,NA,NA,NA,NA,BR 83237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tartaruga entrando na agua. Marca encarnada. Marcas/Cicatrizes nas nadadeiras e pescoco. Tartaruga robusta.
17,LEO,ML,21-Jan-23,NA,NA,11,320,-3.8695,-32.43511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML entre 22:10 e 23:10. No inpicio da praia proxima as pedras.
18,LEO,SD,23-Jan-23,NA,20:25,10,235,-3.86934,-32.43713,F7,BRA 31303,NA,NA,NA,NA,NA,NA,NA,NA,103.3,97.9,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tentou fazer cama no inicio da praia onde ha bastante pedras e depois na vegetação, desceu as 03:48."
19,LEO,CD,23-Jan-23,7,20:38,11,321,-3.86949,-32.43594,F6,NA,BRA 31316,NA,NA,BR 83237,NA,NA,NA,NA,111,106.5,SIM,#N07 23-Jan-2023 BR 83237 BRA 31316,I,21309325,1/23/2023 22:19,3/21/2023 18:11,22-Mar-23,NA,NA,NA,NA,NA,16-Mar-23,21-Mar-23,SU,8,0,49,57,NAO,NA,57,14.04,Marca BRA 31316 na axile direito muitas marcas/cicatriz; 2 emergidos 16-Mar-2023 (dia 52) e 6 retidos; 1 ovo anomalo pequeno; 1 ovo anomalo grande
20,LEO,CD,24-Jan-23,8,21:00,11,322,-3.86886,-32.43496,F1,NA,NA,NA,NA,BR 26380,BRA 21602,NA,NA,NA,NA,NA,SIM,#N08 24-Jan-2023 BR 26380 BRA 21602,I,21309306,1/25/2023 00:28,3/20/2023 02:55,20-Mar-23,NA,NA,NA,NA,NA,19-Mar-23,19-Mar-23,SU,113,5,46,164,SIM,40,54,68.9,Pintada. 
21,LEO,CD,25-Jan-23,9,20:40,11,457,-3.86992,-32.43771,F7,NA,BRA 31317,NA,NA,BRA 31303,NA,NA,NA,NA,NA,NA,SIM,#N09 25-Jan-2023 BRA 31303 BRA 31317,I,21309332,1/25/2023 20:48,3/18/2023 03:07,18-Mar-23,NA,NA,NA,NA,NA,17-Mar-23,17-Mar-23,SU,100,1,9,110,SIM,40,51,90.91,"Já estava desovando quando avistamos. Desova muito próxima ao ninho 01. Pintada.  95 hatchlings emerged, 5 retidos. "
22,LEO,ML,25-Jan-23,NA,NA,10,236,-3.86934,-32.43713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entre 20:40 e 21:55. ML no início da praia, local de muitas pedras. "
23,LEO,SD,25-Jan-23,NA,23:20,11,324,-3.8695,-32.4351,F2,NA,NA,NA,NA,BRA 27873,BRA 31301,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SD no início da praia (local de muitas pedras). Tartaruga entrando na água.
