N_NINHO,N_REGISTRO,PRAIA,TURTLE ID,DATA_OCORR,TIPO_REG,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
NA,33,Leao,F9,5-Feb-21,ML,20:10,10,61,-3.86978,-32.43851,BRA 27925,BRA 27931,NA,NA,NA,110.3,98.3,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 061 - F9. Ambas as marcas colocadas entre a segunda e terceira escama das nadadeiras posteriores.
NA,34,Leao,F10,5-Feb-21,ML,22:57,11,49,-3.87025,-32.4382,NA,NA,BR 77094,BRA 06231,NA,118,107,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 049 - F10. Marca BR 77094 na nad posterior direita e BRA 06231 na anterior esquerda.
NA,35,Leao,F11,5-Feb-21,ML,01:30,10,62,-3.87064,-32.43872,BRA 27923,BRA 27924,NA,NA,NA,104,98.4,SIM,05/02/21- BRA 27923/BRA 27924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 062 - F11. Apenas 1 pedaco de tecido coletado.
NA,36,Leao,F9,6-Feb-21,ML,20:19,10,63,-3.87052,-32.43962,NA,NA,BRA 27931,BRA 27925,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 063 - F9.
NA,38,Leao,NA,6-Feb-21,ML,NA,10,64,-3.86951,-32.43525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 064. Ocorrência entre 23:00 e 00:00.
NA,39,Leao,NA,6-Feb-21,ML,NA,11,51,-3.86828,-32.43596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 051. Ocorrência entre 00:15 e 1:20.  
NA,41,Leao,F5,7-Feb-21,ML,20:25,11,63,-3.87001,-32.43927,NA,NA,BRA 27906,BRA 27907,NA,110,102,SIM,07/02/21- BRA 27906/ BRA 27907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 063 - F5 (estava pintada do lado direito).
NA,43,Leao,F6,7-Feb-21,ML,00:30,11,64,-3.86976,-32.43722,NA,NA,BRA 27903,BRA 27904,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 064 - F6. Marca BRA 27903 entre 2° e 3° escama esquerda e BRA 27904 na axila direita.
NA,47,Leao,F1,9-Feb-21,ML,20:10,11,67,-3.8695,-32.43534,NA,NA,BR 83209,BRA 21740,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 067 - F1.
NA,48,Leao,F2,9-Feb-21,ML,21:37,11,68,-3.8699,-32.43755,NA,NA,BR 38662,BRA 27902,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 068 - F2.
