N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,INCUBACAO,COLETA_MAT_Filhotes,OBSERVACAO
21,Leao,CD,13-Jan-20,17,20:22,10,N17,-3.870055,-32.43765,BRA 21614,BRA 21615,NA,NA,NA,106,103.4,SIM,#17 - 13/01/20 - BRA21614/ BRA21615,I,896720,1/13/2020 20:30,3/4/2020 23:15,NA,NA,NA,NA,NA,4-Mar-20,4-Mar-20,SU,62,25,3,90,51,SIM - 32 filhotes,GPS 10 - N17
22,Leao,CD,13-Jan-20,18,20:22,11,N18,-3.870023,-32.437858,BRA 21627,NA,BR 83329,NA,NA,112.4,108.3,SIM,#18 - 13/01/20 - BR83329/ BRA21627,I,896722,1/13/2020 21:33,3/3/2020 21:24,NA,NA,NA,NA,NA,3-Mar-20,3-Mar-20,SU,102,0,5,107,50,SIM- 32 filhotes,GPS 11 - N18
23,Leao,CD,13-Jan-20,19,02:40,10,N19,-3.869399,-32.4357,NA,NA,NA,NA,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS 10 - N19. Tartaruga subiu pelo ""rio"", nao deixando rastro de subida. Foi avistada ja voltando para agua as 2:40. "
24,Leao,ML,14-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25,Leao,CD,15-Jan-20,20,22:00,10,N20,-3.86978,-32.437,BRA 21616,BRA 21617,NA,NA,NA,112.6,103.4,SIM,#20-15/01/20-BRA21616/ BRA21617,I,881575,1/15/2020 22:50,3/5/2020 07:54,NA,NA,NA,NA,NA,4-Mar-20,5-Mar-20,SU,67,3,17,87,49,SIM - 32 filhotes,GPS 10 - N20
26,Leao,CD,16-Jan-20,21,20:25,11,N21,-3.86966,-32.43631,NA,NA,BRA 21607,BRA 21608,NA,98.4,96.5,SIM,#21-16/01/20-BRA21607/ BRA21608,I,896721,1/16/2020 21:20,3/4/2020 01:19,NA,NA,NA,NA,NA,3-Mar-20,3-Mar-20,SU,67,0,30,97,47,SIM - 67 filhotes,GPS 11 - N21
27,Leao,CD,16-Jan-20,22,20:25,10,N22,-3.86969,-32.43677,BRA 21643,NA,BR 77078,NA,NA,122.5,112.1,SIM,#22-16/01/20-BRA21643/ BR77078,I,896694,1/16/2020 23:06,3/5/2020 08:08,NA,NA,NA,NA,NA,4-Mar-20,5-Mar-20,SU,109,0,14,123,48,SIM - 32 filhotes,GPS 10 - N22. Marca BR na nadadeira posterior direita e marca BRA entre  a segunda e terceira escama da nadadeira anterior esquerda. Muitas cicatrizes de marca. Muito gordinha.
28,Leao,CD,16-Jan-20,23,21:15,11,N23,-3.86965,-32.43632,NA,NA,BRA 21622,BRA 21620,NA,102.8,98,SIM,#23-16/01/20-BRA21620/ BRA21622,I,880878,1/16/2020 22:44,3/7/2020 20:55,NA,NA,1,NA,NA,6-Mar-20,7-Mar-20,SU,49,0,35,84,50,NAO,GPS 11 - N23. Alguma tartaruga furou 1 ovo e desenterrou 6 (foram recolocados no ninho).
29,Leao,CD,17-Jan-20,24,20:30,11,N24,-3.86971,-32.43674,NA,NA,BRA 21606,BRA 21609,NA,113.4,107.4,SIM,#24-17/01/20-BRA21606/ BR21609,I,896711,1/17/2020 23:27,3/10/2020 21:41,NA,NA,NA,NA,NA,9-Mar-20,10-Mar-20,SU,108,1,4,113,52,NAO,GPS11 - N24. Possive marca de interacao com barco (marca da cabeca e carapaca). Marca profunda de copula.
30,Leao,CD,17-Jan-20,25,20:38,10,N25,-3.86999,-32.43847,BRA 21618,NA,BR 98337,NA,NA,112.7,102,SIM,#25-17/01/20-BRA21618/ BR98337 ,I,881571,1/17/2020 22:04,3/5/2020 20:54,NA,NA,NA,NA,NA,5-Mar-20,5-Mar-20,SU,77,2,23,102,48,SIM - 77 filhotes,GPS 10 - N25. Cicatiz de marca na nadeira anterior. Anilha na nadeira posterior.
