N_REGISTRO,PRAIA,TIPO_REG,TURTLE ID,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,Tempo de incubacao,Hatching success,OBSERVACAO
97,Leao,ML,F3,28-Feb-2021,NA,20:05,10,91,-3.87019,-32.4382,NA,NA,BR 67305,BRA 27905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-091 F3
98,Leao,CD,F5,28-Feb-2021,44,20:06,11,101,-3.87003,-32.43792,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Apr-2021,20-Apr-2021,SU,90,0,3,93,NAO,,50,96.8,GPS 11- 101 Esmalte retocado F5
99,Leao,CD,F3,28-Feb-2021,46,20:52,11,102,-3.86986,-32.43725,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,17-Apr-2021,18-Apr-2021,SU,91,8,6,105,SIM - 32 filhotes,32,48,86.7,GPS 11- 102 - F3 (esmalte retocao).
100,Leao,CD,F21,28-Feb-2021,45,21:06,10,92,-3.86992,-32.43716,BRA 27945,BRA 27946,NA,NA,NA,107.6,103.3,SIM,#45-28/02/21-BRA 27945/ BRA 27946,I,NA,NA,NA,NA,NA,NA,NA,NA,20-Apr-2021,21-Apr-2021,SU,54,1,53,108,SIM - 53 filhotes,53,51,50.0,GPS 10 - 092-  F21 (pintada) Foto ID ok. Calombro na parte direita do rosto (foto).
101,Leao,ML,NA,28-Feb-2021,NA,NA,11,103,-3.86952,-32.43502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 103 Entre 21:37 e 22:38
102,Leao,ML,NA,01-Mar-2021,NA,20:35,10,93,-3.87038,-32.43816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 093 Tartaruga entrando na água 
103,Leao,CD,F10,01-Mar-2021,47,20:40,10,94,-3.86989,-32.43771,NA,NA,BRA 06231,BR 77094,NA,NA,NA,NAO,NA,I,502127,01-Mar-2021 21:35,21-Apr-2021 00:16,NA,NA,NA,NA,NA,20-Apr-2021,20-Apr-2021,SU,78,1,40,119,SIM - 78 filhotes,78,50,65.5,GPS 10 - 094 - F10 (esmalte retocado).
104,Leao,SD,F15,01-Mar-2021,NA,20:45,11,104,-3.86991,-32.43745,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 -104 - F15
105,Leao,SD,F20,01-Mar-2021,NA,21:05,11,105,-3.86987,-32.43738,BRA 27958,NA,BRA 27957,NA,NA,106.3,101,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 105 - F20
106,Leao,SD,F4,02-Mar-2021,NA,20:10,11,110,-3.86988,-32.43736,NA,NA,BRA 27908,BRA 27909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 110 F4
107,Leao,ML,F16,02-Mar-2021,NA,20:20,11,111,-3.86988,-32.43739,NA,NA,BRA 27942,BRA 27943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 111 F16
108,Leao,CD,F15,02-Mar-2021,49,20:30,11,107,-3.86988,-32.43736,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,SIM,#49 02/03/21 BRA 27940/BRA 27941,I,NA,NA,NA,NA,NA,NA,NA,NA,21-Apr-2021,21-Apr-2021,PA,44,1,38,83,SIM - 3 filhotes,,,,GPS 11 - 107 - F15  (esmalte retocado). Ninho predado por teju. Emergiram 3 filhotes que foram amostrados e a na abertura foram encontrado apenas mais 8. Como o ninho estava telado possivelmente o teju pode ter predado os outros filhotes.
109,Leao,CD,F22,02-Mar-2021,48,21:17,11,106,-3.86970,-32.4367,BRA 27959,NA,BRA 21700,NA,BRA 21763,113.5,109,SIM,#48 02/03/21 BRA 27959 BRA 21700,I,502126,02-Mar-2021 21:39,24-Apr-2021 02:47,NA,NA,NA,NA,NA,21-Apr-2021,23-Apr-2021,SU,20,1,47,68,SIM - 20 filhotes,20,50,29.4,"GPS 11 - 106 - F22 (pintada). Foto ID ok. 1 filhote emergido aparentemente predado por carangueijo dia 21-Apr-2021, 17 emergidos dia 23-Apr-2021 e 2 retidos."
110,Leao,CD,F14,02-Mar-2021,51,21:25,11,108,-3.86956,-32.43602,NA,NA,BRA 27937,BRA 27938,NA,NA,NA,SIM,#51 02/03/21 BRA 27937 BRA 27938,I,NA,NA,NA,NA,NA,NA,NA,NA,21-Apr-2021,22-Apr-2021,SU,75,13,23,111,SIM - 75 filhotes,75,50,67.6,GPS 11 - 108 - F14 (esmalte retocado). Marca BRA 27937 na escama nad direita.
111,Leao,SD,F8,02-Mar-2021,NA,21:30,11,112,-3.86981,-32.43737,BRA 27962,NA,BRA 27901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 112 - F8. Perdeu 1 marca marca BRA 27962 colocada entre a 2 e 3 escama na nadadeira direita.
112,Leao,SD,F16,02-Mar-2021,NA,22:38,11,114,-3.86985,-32.43691,NA,NA,BRA 27942,BRA 27943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 114 - F16.
113,Leao,SD,F9,02-Mar-2021,NA,22:50,11,109,-3.86952,-32.43644,NA,NA,BRA 27931,BRA 27925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 109 - F9.
114,Leao,ML,NA,02-Mar-2021,NA,NA,11,113,-3.87047,-32.43850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-113 Entre 23 e 00:00
115,Leao,CD,F4,03-Mar-2021,50,20:04,10,95,-3.86994,-32.43778,NA,NA,BRA 27908,BRA 27909,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,24-Apr-2021,24-Apr-2021,SU,64,0,6,70,NAO,,52,91.4,GPS 10 - 095 - F4 (esmalte retocado)
