N_REGISTRO,PRAIA,TIPO_REG,TURTLE ID,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,Tempo de incubacao,Hatching success,OBSERVACAO
152,Leao,ML,F23,14-Mar-2021,NA,20:04,11,129,-3.86948,-32.43517,NA,NA,BRA 27964,BRA 27965,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-129 F23
153,Leao,ML,F24,14-Mar-2021,NA,20:15,11,130,-3.86974,-32.43713,BRA 27961,NA,BR 83201,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-130 F24 Tartaruga entrando na agua
154,Leao,ML,NA,14-Mar-2021,NA,20:16,11,131,-3.86992,-32.43713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 131 Tartaruga entrando na agua
155,Leao,CD,F15,14-Mar-2021,71,20:18,10,119,-3.86992,-32.43740,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,03-May-2021,05-May-2021,SU,55,2,32,89,SIM - 28 filhotes,28,50,61.8,"GPS 10 - 119 - F15 (esmalte retocado). 6 filhotes emergidos dia 3-May-21, 18 emergidos dia 5-May-21 e 4 filhotes retidos; não foram encontrados 27 filhotes (somados aos emergidos e retidos totalizariam o número de casquinhas encontradas - 55 casquinhas)."
156,Leao,ML,F4,14-Mar-2021,NA,20:20,11,134,-3.86989,-32.43776,NA,NA,BRA 27909,BRA 27908,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 134 - F4
157,Leao,ML,NA,14-Mar-2021,NA,NA,11,132,-3.87036,-32.43935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 132. Entre 22:30 e 23:40
158,Leao,CD,F23,14-Mar-2021,72,22:38,10,120,-3.86983,-32.43711,NA,NA,BRA 27964,BRA 27965,NA,NA,NA,SIM,#72 14/03/21 BRA 27964/BRA 27965,I,NA,NA,NA,NA,NA,NA,NA,NA,01-May-2021,01-May-2021,SU,62,1,14,77,SIM - 62 filhotes,62,48,80.5,GPS 10 - 120 - F23 (pintada novamente).
159,Leao,ML,F9,14-Mar-2021,NA,23:45,11,133,-3.87055,-32.43944,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 133 F9
160,Leao,CD,F12,14-Mar-2021,73,1:40,11,135,-3.86967,-32.43657,NA,NA,BRA 27932,BRA 27934,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,04-May-2021,04-May-2021,SU,58,5,8,71,SIM - 58 filhotes,58,51,81.7,GPS 11 - 135 - F12 (esmalte retocado). 1 ovo anomalo pequeno.
161,Leao,ML,F14,14-Mar-2021,NA,3:12,10,121,-3.86957,-32.43542,NA,NA,BRA 27937,BRA 27938,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 121 - F14
162,Leao,SD,F9,14-Mar-2021,NA,4:30,10,122,-3.86959,-32.43631,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 122 - F9
163,Leao,SD,F21,15-Mar-2021,NA,20:04,11,137,-3.86949,-32.43519,NA,NA,BRA 27945,BRA 27946,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 137 F21
164,Leao,ML,NA,15-Mar-2021,NA,NA,11,138,-3.86989,-32.43696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 138. Antes das 20:10
165,Leao,ML,F11,15-Mar-2021,NA,20:15,10,123,-3.87044,-32.43926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 123 F11 (tartaruga entrando na água, não foi possível conferir as marcas)"
166,Leao,ML,F4,15-Mar-2021,NA,21:21,11,140,-3.86990,-32.43696,NA,NA,BRA 27908,BRA 27909,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 140 F4
167,Leao,CD,F25,15-Mar-2021,74,21:22,11,136 (I) e 141 (P),-3.87020,-32.43992,BRA 27970,BRA 27971,NA,NA,NA,122.8,110.5,SIM,#74 15/03/21 BRA 27970/BRA 27971,P,NA,NA,NA,A,164,0,-3.87004,-32.43789,04-May-2021,04-May-2021,SU,76,24,60,160,SIM - 32 filhotes,32,50,47.5,"GPS 11 - 136 (I) e GPS 11 - 141 (P) - F25 (pintada). Desovou no final da praia, perto das pedras, aréa com perigo de inundação por chuva e por maré."
168,Leao,SD,F6,15-Mar-2021,NA,22:00,11,139,-3.86977,-32.43715,NA,NA,BRA 27903,BRA 27904,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 139 - F6
169,Leao,ML,NA,15-Mar-2021,NA,NA,11,142,-3.86989,-32.43690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 142. Entre 22:00 e 22:50. 
170,Leao,CD,F9,15-Mar-2021,75,1:52,10,124,-3.87008,-32.43806,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,06-May-2021,06-May-2021,SU,108,1,0,109,NAO,,52,99.1,GPS 10 - 124 F9 (esmalte retocado).
171,Leao,CD,F4,15-Mar-2021,76,4:20,11,143,-3.86994,-32.43771,NA,NA,BRA 27908,BRA 27909,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,07-May-2021,07-May-2021,SU,72,0,2,74,SIM - 32 filhotes,32,53,97.3,GPS 11 - 143 - F4 (esmalte retocado).
172,Leao,SD,F11,15-Mar-2021,NA,5:00,11,144,-3.87008,-32.43808,NA,NA,BRA 27924,BRA 27960,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 144 F11
173,Leao,SD,F24,16-Mar-2021,NA,20:05,10,125,-3.86978,-32.43696,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-125 F24
174,Leao,SD,F16,16-Mar-2021,NA,20:06,10,126,-3.86974,-32.43699,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-126 F16 marcas nao conferidas
175,Leao,CD,F2,16-Mar-2021,77,21:20,10,127,-3.86947,-32.43562,NA,NA,BR 38662,BRA 27902,NA,NA,NA,NAO,NA,I,896725,16-Mar-2021 23:29,04-May-2021 10:13,NA,NA,NA,NA,NA,03-May-2021,03-May-2021,SU,123,4,6,133,NAO,,48,92.5,GPS 10 - 127 - F2 (esmalte retocado).
176,Leao,CD,F11,16-Mar-2021,78,22:48,11,148,-3.86995,-32.43743,NA,NA,BRA 27960,BRA 27924,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,05-May-2021,06-May-2021,SU,94,5,9,108,SIM - 32 filhotes,32,50,87.0,GPS 11 - 148 - F11 (esmalte retocado).
177,Leao,SD,F20,16-Mar-2021,NA,22:49,11,149,-3.86988,-32.43765,NA,NA,BRA 27957,BRA 27958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 149 F20
178,Leao,ML,NA,17-Mar-2021,NA,NA,11,152,-3.86955,-32.43492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 152. Antes das 20:07
179,Leao,CD,F20,17-Mar-2021,80,20:40,11,151,-3.86996,-32.43776,NA,NA,BRA 27957,BRA 27958,NA,NA,NA,SIM,#80 17/03/21 BRA 27957/BRA 27958,I,896705,17-Mar-2021 22:10,06-May-2021 20:53,NA,NA,NA,NA,NA,05-May-2021,06-May-2021,SU,64,16,22,102,SIM - 32 filhotes,32,49,62.7,GPS 11 - 151 - F20 (esmalte retocado).
180,Leao,CD,F24,17-Mar-2021,79,22:55,11,150,-3.86971,-32.43675,NA,NA,BRA 27961,BR 83201,NA,114.5,105,SIM,#79 17/03/21 BRA 27961/ BR 83201,I,NA,NA,NA,NA,NA,NA,NA,NA,05-May-2021,05-May-2021,SU,46,0,45,91,SIM - 35 filhotes,35,49,50.5,GPS 11 - 150 - F24 (pintada). Foto ID ok. Craca na 3° placa lateral esquerda (foto). 
181,Leao,CD,F16,18-Mar-2021,81,20:06,10,128,-3.86968,-32.43670,NA,NA,BRA 27942,BRA 27943,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,06-May-2021,07-May-2021,SU,158,0,11,169,SIM - 32 filhotes,32,49,93.5,GPS 10 - 128 - F16. 
182,Leao,CD,F1,18-Mar-2021,82,20:15,10,130,-3.87000,-32.43768,NA,NA,BR 83209,BRA 21740,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,08-May-2021,08-May-2021,SU,117,1,9,127,NAO,,51,92.1,GPS 10 - 130 F1 (esmalte retocado)
183,Leao,ML,NA,18-Mar-2021,NA,NA,11,153,-3.87008,-32.43999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 153. Antes das 20:25
184,Leao,ML,F17,18-Mar-2021,NA,21:28,10,129,-3.86948,-32.43535,NA,NA,BRA 27949,BRA 27951,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 129 F17
185,Leao,SD,F18,18-Mar-2021,NA,1:25,11,154,-3.87012,-32.43813,NA,NA,BRA 27952,BRA 27954,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 154 F18
186,Leao,CD,F18,19-Mar-2021,83,21:47,10,131 (I) e 132 (P),-3.87042,-32.43909,NA,NA,BRA 27952,BRA 27954,NA,NA,NA,SIM,#83 19/03/21 BRA 27952/ BRA 27953,P,NA,NA,NA,A,100,0,-3.87001,-32.43784,07-May-2021,07-May-2021,SU,85,8,4,97,SIM - 33 filhotes,33,49,87.6,GPS 10 - 131 (I) e 132 (P) - F18. 1 ovo apresentou estrutura parecida com um ovo de galinha (com uma ponta). Desovou em área com perigo de inundação por maré.
187,Leao,CD,F19,20-Mar-2021,84,20:10,10,133,-3.86939,-32.43571,NA,NA,BR 06201,BRA 27936,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,08-May-2021,08-May-2021,SU,104,2,3,109,SIM - 32 filhotes,32,49,95.4,GPS 10 - 133 - F19 (esmalte retocado). 
188,Leao,CD,F13,20-Mar-2021,85,20:16,10,N85,-3.86974,-32.43738,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,08-May-2021,08-May-2021,SU,94,2,15,111,SIM - 32 filhotes,32,49,84.7,GPS 11 - N85 - F13 (esmalte retocado).
189,Leao,SD,F3,21-Mar-2021,NA,22:35,11,155,-3.86971,-32.43730,NA,NA,BR 67305,BRA 27905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 155 F3
190,Leao,ML,NA,21-Mar-2021,NA,NA,10,134,-3.86950,-32.43512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-134 Entre 00:20 e 1:30
191,Leao,ML,F10,21-Mar-2021,NA,1:43,10,135,-3.86948,-32.43519,NA,NA,BR 77094,BRA 06231,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-135 F10
192,Leao,CD,F10,22-Mar-2021,87,21:21,10,136,-3.87005,-32.43795,NA,NA,BR 77094,BRA 06231,NA,NA,NA,NAO,NA,I,881571,22-Mar-2021 23:05,11-May-2021 22:40,NA,NA,NA,NA,NA,10-May-2021,11-May-2021,SU,72,7,52,131,SIM - 35 filhotes,35,49,55.0,GPS 10 - 136 - F10 (esmalte retocado).
193,Leao,CD,F3,22-Mar-2021,86,21:43,10,137,-3.86954,-32.43642,NA,NA,BR 67305,BRA 27905,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,12-May-2021,12-May-2021,SU,122,2,6,130,SIM - 32 filhotes,32,51,93.8,GPS 10 - 137 - F3 (esmalte retocado).
194,Leao,ML,NA,23-Mar-2021,NA,NA,11,156,-3.86981,-32.43641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-156 Antes das 20:03
195,Leao,CD,F17,23-Mar-2021,88,21:30,11,157,-3.86998,-32.43757,NA,NA,BRA 27951,BRA 27949,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,11-May-2021,14-May-2021,SU,83,0,6,89,SIM - 32 filhotes,32,49,93.3,GPS 11 - 157 - F17 (esmalte retocado). 12 filhotes emergidos dia 11-May-2021 e o restante dos filhotes emergidos dia 14-May-2021. Na abertura foi encontrado um filhote predado sem cabeça.
196,Leao,CD,F5,23-Mar-2021,89,21:31,10,138,-3.86987,-32.43730,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,13-May-2021,13-May-2021,SU,87,0,6,93,NAO,,51,93.5,GPS 10-138 F5 esmalte retocado. 1 ovo anômalo pequeno.
197,Leao,ML,NA,25-Mar-2021,NA,NA,11,159,-3.86959,-32.43568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-159 Antes das 19:55
198,Leao,ML,F25,25-Mar-2021,NA,19:58,11,158,-3.86999,-32.43675,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-158 F25
199,Leao,ML,F22,25-Mar-2021,NA,22:20,11,161,-3.87030,-32.43758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-161 F22 Nao foi possivel conferir as marcas tartaruga entrando na agua
200,Leao,ML,NA,25-Mar-2021,NA,NA,11,160,-3.86966,-32.43583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-160 Entre 22:20 e 23:00
201,Leao,ML,NA,25-Mar-2021,NA,NA,10,139,-3.86952,-32.43537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-139 Entre 00:20 e 01:20
202,Leao,ML,F12,25-Mar-2021,NA,2:15,10,140,-3.86947,-32.43532,NA,NA,BRA 27932,BRA 27934,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-140 F12
203,Leao,ML,F22,25-Mar-2021,NA,2:40,10,141,-3.87026,-32.43784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-141 F22 Nao foi possível conferir as marcas tartaruga entrando na agua.
204,Leao,CD,F12,26-Mar-2021,90,20:01,10,142,-3.86965,-32.43660,NA,NA,BRA 27932,BRA 27934,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,15-May-2021,15-May-2021,SU,87,1,2,90,SIM - 32 filhotes,32,50,96.7,GPS 10 - 142 - F12 (esmalte retocado).
205,Leao,CD,F25,26-Mar-2021,91,20:03,11,162,-3.87003,-32.43792,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,SIM ,#91 26/03/2021 BRA 27970/ BRA 27971,I,NA,NA,NA,NA,NA,NA,NA,NA,16-May-2021,16-May-2021,SU,112,10,14,136,SIM - 96 filhotes,96,51,82.4,GPS 11 - 162 - F25 (esmalte retocado). Foto ID ok. 1 ovo anomalo pequeno.
206,Leao,CD,F15,26-Mar-2021,92,20:04,10,143,-3.86987,-32.43742,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,14-May-2021,14-May-2021,SU ,71,1,17,89,SIM - 71 filhotes,71,49,79.8,GPS 10 - 143 - F15 (esmalte retocado). Um filhote encontrado morto proximo  a superficie.
207,Leao,CD,F9,26-Mar-2021,93,0:08,11,164,-3.86983,-32.43756,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,16-May-2021,16-May-2021,SU,110,4,1,115,SIM - 92 filhotes,92,51,95.7,"GPS 11 - 164 - F9 (esmalte retocado). Passou pela tela do ninho 18 e arrancou, tela recolocada."
208,Leao,CD,F22,26-Mar-2021,94,0:12,11,163,-3.86961,-32.43692,NA,NA,BRA 21700,BRA 27959,NA,NA,NA,NAO,NA,I,880878,27-Mar-2021 01:23,17-May-2021 01:40,NA,NA,NA,NA,NA,16-May-2021,16-May-2021,SU,103,2,5,110,SIM - 32 filhotes,32,51,93.6,GPS 11 - 163 - F22 (esmalte retocado).
209,Leao,CD,F2,27-Mar-2021,95,20:20,11,165,-3.87003,-32.43789,NA,NA,BR 38662,BRA 27902,NA,NA,NA,NAO,NA,I,896702,27-Mar-2021 20:29,18-May-2021 00:13,NA,NA,NA,NA,NA,17-May-2021,17-May-2021,SU,125,1,2,128,SIM - 32 filhotes,32,51,97.7,GPS 11 - 165 - F2 (esmalte retocado).
210,Leao,ML,NA,29-Mar-2021,NA,NA,10,144,-3.87013,-32.43760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 144. Antes das 20:05.
211,Leao,ML,NA,29-Mar-2021,NA,NA,10,145,-3.87039,-32.43823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 145. Antes das 20:05.
212,Leao,ML,NA,29-Mar-2021,NA,NA,10,146,-3.87042,-32.43833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 146. Antes das 20:05.
213,Leao,CD,F24,30-Mar-2021,96,20:07,10,147,-3.86994,-32.43770,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,19-May-2021,19-May-2021,SU,42,1,52,95,SIM - 32 filhotes,32,50,44.2,GPS 10 - 147 - F24. Tartaruga flagrada no final do processo não foi possível realizar todos os procedimentos e o ninho foi encontrado depois que ela desceu.
214,Leao,ML,F13,30-Mar-2021,NA,20:15,11,166,-3.87003,-32.43789,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-166 F13
215,Leao,SD,F13,30-Mar-2021,NA,22:18,11,168,-3.87009,-32.43811,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-168 F13 Desceu 00:57
216,Leao,ML,NA,30-Mar-2021,NA,NA,11,167,-3.87047,-32.43953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 167 Antes das 20:15
217,Leao,CD,NA,30-Mar-2021,97,NA,10,148,-3.86963,-32.43654,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,21-May-2021,21-May-2021,SU,94,0,2,96,NAO,,52,97.9,"GPS 10-148 Tartaruga subiu antes das 20:00 e nao foi flagrada, foi visto apenas a cama e o rastro de descida por volta de 22:40. Ninho não encontrado, mas será monitorado."
218,Leao,CD,F13,31-Mar-2021,98,20:05,11,169,-3.86987,-32.43763,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,21-May-2021,21-May-2021,SU,103,3,3,109,SIM - 33 filhotes,33,51,94.5,"GPS 11 - 169 F13 (esmalte retocado). A caminho do mar foi encontrado 20 ovos em seu rastro de descida, avistado às 22:55. Os ovos foram depositados cenca de 2m do ninho e sinalizado com salsa e pedras ao redor. Na abertura foram encontrados 21 casquinhas, houve um erro de contagem dos ovos encontrados no rastro da tartaruga.  "
219,Leao,ML,NA,31-Mar-2021,NA,NA,11,170,-3.87039,-32.43899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 170. Entre a ronda das 20:00 e 21:20.
220,Leao,SD,F18,31-Mar-2021,NA,22:10,11,171,-3.87006,-32.43946,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 171 F18
221,Leao,CD,F19,01-Apr-2021,99,20:05,11,172,-3.87008,-32.43808,NA,NA,BRA 27936,BRA 06201,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-May-2021,22-May-2021,SU,102,0,4,106,SIM - 32 filhotes,32,51,96.2,GPS 11 - 172 - F19 (esmalte retocado).
222,Leao,CD,F3,02-Apr-2021,100,22:50,11,173,-3.86985,-32.43695,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-May-2021,23-May-2021,SU,105,1,4,110,NAO,,50,95.5,GPS 11 - 173 F3 (esmalte retocado)
223,Leao,CD,F17,03-Apr-2021,101,2:56,11,174,-3.86984,-32.43723,NA,NA,BRA 27951,BRA 27949,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,24-May-2021,24-May-2021,SU,85,0,10,95,SIM - 32 filhotes,32,51,89.5,GPS 11 - 174 - F17 (esmalte retocado).
224,Leao,ML,NA,06-Apr-2021,NA,NA,10,149,-3.87043,-32.43844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 149 Antes das 20:25.
225,Leao,ML,F2,06-Apr-2021,NA,21:25,10,150,-3.87059,-32.43838,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 -150 F2
226,Leao,ML,F9,06-Apr-2021,NA,21:37,10,151,-3.87022,-32.43702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 151 F9 ML na beira da agua
227,Leao,SD,F25,06-Apr-2021,NA,0:15,10,153,-3.87006,-32.43790,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 153 F25. Fez 8 camas desceu 6:10. Arrancou e enterrou a estaca 27, estaca foi encontrada presa a ancora e foi recolocada no lugar."
228,Leao,CD,F9,06-Apr-2021,102,1:00,10,152,-3.87002,-32.43798,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,26-May-2021,27-May-2021,SU,107,0,1,108,NAO,,50,99.1,GPS 10 - 152 F9 (esmalte retocado)
229,Leao,SD,F25,07-Apr-2021,NA,20:07,10,155,-3.87011,-32.43823,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - F25
230,Leao,CD,F2,07-Apr-2021,104,20:10,11,175 (I) e 176 (P),-3.87006,-32.43861,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,P,NA,NA,NA,A,123,0,-3.87001,-32.43764,24-May-2021,24-May-21,SU,105,2,15,122,NAO,,47,86.1,GPS 11 -175 (I) E 176 (P) F2 (esmalte retocado).  Transferido por estar em aréa com perigo de inundação pelo segundo rio temporário que se forma com a chuva  (próximo da casinha).  
